sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2	Qiita_studyID
roach_minnow.1	13881.SAMEA6809408	13881	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1317812	1001098	6.000476593999999	6	Chordata	Actinopterygii	Leuciscidae	Rutilus	Metazoa	Cypriniformes	Rutilus_rutilus	Pimephales_promelas	Rutilus_rutilus	roach_minnow			omnivore	Austria		gut	carnivore	carnivore	wild	Rutilus-rutilus_SAMEA6809408.ebi_filtered_r1r2interleaved_sampleCombined	study13881
alpine_shrew.1	13881.SAMEA6809519	13881	Salamandra-atra_SAMEA6809519.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	606002	605706	5.782261876000001	6	Chordata	Amphibia	Salamandridae	Salamandra	Metazoa	Caudata	Salamandra_atra	Ambystoma_mexicanum	Salamandra_atra	Alpine_Salamander			carnivore	Austria		feces	insectivore	carnivore	wild	Salamandra-atra_SAMEA6809519.ebi_filtered_r1r2interleaved_sampleCombined	study13881
river_trout.1	13881.SAMEA6809412	13881	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	1146406	1075514	6.031616068	6	Chordata	Actinopterygii	Salmonidae	Salmo	Metazoa	Salmoniformes	Salmo_trutta	Salmo_trutta	Salmo_trutta	river_trout			carnivore	Austria		gut	carnivore	carnivore	wild	Salmo-trutta_SAMEA6809412.ebi_filtered_r1r2interleaved_sampleCombined	study13881
brown_woolly_monkey.5	13881.SAMEA6809440	13881	Salmo-trutta_SAMEA6809440.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2171866	1924080	6.284223125	6	Chordata	Actinopterygii	Salmonidae	Salmo	Metazoa	Salmoniformes	Salmo_trutta_fario	Salmo_trutta_fario	Salmo_trutta	Brown_Trout			carnivore	Austria		gut	carnivore	carnivore	wild	Salmo-trutta_SAMEA6809440.ebi_filtered_r1r2interleaved_sampleCombined	study13881
brook_trout.1	13881.SAMEA6809414	13881	Salvelinus-fontinalis_SAMEA6809414.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	576504	154434	5.18874292	5	Chordata	Actinopterygii	Salmonidae	Salvelinus	Metazoa	Salmoniformes	Salvelinus_fontinalis	Salvelinus_namaycush	Salvelinus_fontinalis	brook_trout			carnivore	Austria		feces	carnivore	carnivore	wild	Salvelinus-fontinalis_SAMEA6809414.ebi_filtered_r1r2interleaved_sampleCombined	study13881
pike-perch.1	13881.SAMEA6809460	13881	Sander-lucioperca_SAMEA6809460.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	19511056	19454692	7.28902436	7	Chordata	Actinopterygii	Percidae	Sander	Metazoa	Perciformes	Sander_lucioperca	Sander_lucioperca	Sander_lucioperca	pike-perch			carnivore	Austria		feces	carnivore	carnivore	wild	Sander-lucioperca_SAMEA6809460.ebi_filtered_r1r2interleaved_sampleCombined	study13881
king_vulture.2	11166.NATL.24241.vulture	11166	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2combined.fastq.gz	108846910	108823702	8.036723496	8	Chordata	Aves	Cathartidae	Sarcoramphus	Metazoa	Ciconiiformes	Sarcoramphus_papa	Cathartes_aura	Sarcoramphus_papa	king_vulture	flighted			USA			scavenger	carnivore	captive	Sarcoramphus-papa_S_S_Temp_D705-AK1682_filtered_r1r2interleaved	study11166
common_vampire_bat.7	13881.SAMEA6809603	13881	Scardinius-erythrophthalmus_SAMEA6809603.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	4693292	2458834	6.39072921	6	Chordata	Actinopterygii	Leuciscidae	Scardinius	Metazoa	Cypriniformes	Scardinius_erythrophthalmus	Leuciscus_waleckii	Scardinius_erythrophthalmus	Common_Rudd			omnivore	Austria		feces	omnivore	omnivore	wild	Scardinius-erythrophthalmus_SAMEA6809603.ebi_filtered_r1r2interleaved_sampleCombined	study13881
eurasian_red_squirrel.1	13881.SAMEA6809632	13881	Sciurus-vulgaris_SAMEA6809632.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	19196840	941482	5.9738120210000005	6	Chordata	Mammalia	Sciuridae	Sciurus	Metazoa	Rodentia	Sciurus_vulgaris	Sciurus_vulgaris	Sciurus_vulgaris	Eurasian_red_squirrel			omnivore	Austria		gut	herbivore	herbivore	wild	Sciurus-vulgaris_SAMEA6809632.ebi_filtered_r1r2interleaved_sampleCombined	study13881
eurasian_woodcock.1	13881.SAMEA6809461	13881	Scolopax-rusticola_SAMEA6809461.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	10123834	9842398	6.993100922999999	7	Chordata	Aves	Scolopacidae	Scolopax	Metazoa	Charadriiformes	Scolopax_rusticola	Scolopax_mira 	Scolopax_rusticola	Eurasian_Woodcock			omnivore	Hungary		feces	insectivore	carnivore	wild	Scolopax-rusticola_SAMEA6809461.ebi_filtered_r1r2interleaved_sampleCombined	study13881
alpine_salamander.1	13881.SAMEA6809372	13881	Sorex-alpinus_SAMEA6809372.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	7968140	6480010	6.811575676	7	Chordata	Mammalia	Soricidae	Sorex	Metazoa	Eulipotyphla	Sorex_alpinus	Sorex_araneus	Sorex_alpinus	alpine_shrew			carnivore	Austria		gut	insectivore	carnivore	wild	Sorex-alpinus_SAMEA6809372.ebi_filtered_r1r2interleaved_sampleCombined	study13881
bronzewinged_duck.1	11166.ZU.18260.bronzewingedduck	11166	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2combined.fastq.gz	4312146	4291506	6.632609724	7	Chordata	Aves	Anatidae	Speculanas	Metazoa	Anseriformes	Speculanas_specularis	Heteronetta_atricapilla	Speculanas_specularis	Bronzewinged_duck	flighted			Switzerland			omnivore	omnivore	captive	Speculanas-specularis_S_S_Temp_D709-AK1546_filtered_r1r2interleaved	study11166
european_suslik.1	13881.SAMEA6809426	13881	Spermophilus-citellus_SAMEA6809426.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	9031028	9007468	6.954602727999999	7	Chordata	Mammalia	Sciuridae	Spermophilus	Metazoa	Rodentia	Spermophilus_citellus	Spermophilus_dauricus	Spermophilus_citellus	European_suslik			omnivore	Austria		feces	omnivore	omnivore	wild	Spermophilus-citellus_SAMEA6809426.ebi_filtered_r1r2interleaved_sampleCombined	study13881
european_chub.1	13881.SAMEA6809411	13881	Squalius-cephalus_SAMEA6809411.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	2781864	2778778	6.443853852	6	Chordata	Actinopterygii	Leuciscidae	Squalius	Metazoa	Cypriniformes	Squalius_cephalus	Squalius_pyrenaicus	Squalius_cephalus	European_chub			omnivore	Austria		gut	carnivore	carnivore	wild	Squalius-cephalus_SAMEA6809411.ebi_filtered_r1r2interleaved_sampleCombined	study13881
tawny_owl.1	13881.SAMEA6809400	13881	Strix-aluco_SAMEA6809400.ebi_filtered_r1r2combined_sampleCombined.fastq.gz	5882582	1049722	6.0210742989999995	6	Chordata	Aves	Strigidae	Strix	Metazoa	Strigiformes	Strix_aluco	Strix_occidentalis	Strix_aluco	Tawny_owl			carnivore	Austria		gut	carnivore	carnivore	wild	Strix-aluco_SAMEA6809400.ebi_filtered_r1r2interleaved_sampleCombined	study13881
