sampleid	sample_name_2	studyID	file_filtered_r1r2_combined	reads_per_unfiltered_file	reads_per_file	log10(reads_per_file)_full	log10(reads_per_file)	host_phylum	host_class	host_family	host_genus	host_kingdom	host_order	host_species	reference_for_filtering	TimeTree_returned	host_common_name	host_flight	host_modality	host_diet	country	habitat	sample_type	diet_category_12	diet_category_3	captive_wild	SampleID_2
emu.2	11166.NATL.25068.emu	11166	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2combined.fastq.gz	14509756	14503296	7.161466711	7	Chordata	Aves	Dromaiidae	Dromaius	Metazoa	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	Dromaius_novaehollandiae	emu	flightless			USA			carnivore	carnivore	captive	Dromaius-novaehollandiae_S_S_Temp_D705-AK1544_filtered_r1r2interleaved
fossa.1	11166.ATL.25136.fossa	11166	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2combined.fastq.gz	64530078	64527584	7.809745405	8	Chordata	Mammalia	Eupleridae	Cryptoprocta	Metazoa	Carnivora	Cryptoprocta_ferox	Cryptoprocta_ferox	Cryptoprocta_ferox	Fossa	flightless			USA			carnivore	carnivore	captive	Cryptoprocta-ferox_S_S_Temp_D704-AK1546_filtered_r1r2interleaved
fuegian_steamer_duck.1	11166.ZU.18247.fuegiansteamerduck	11166	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2combined.fastq.gz	17042070	16950020	7.229170215	7	Chordata	Aves	Anatidae	Tachyeres	Metazoa	Anseriformes	Tachyeres_pteneres	Branta_canadensis	Tachyeres_pteneres	Fuegian_steamer_duck	flightless			Switzerland			insectivore	carnivore	captive	Tachyeres-pteneres_S_S_Temp_D710-AK1681_filtered_r1r2interleaved
genovesa_ground_finch.1	11166.UM.24892.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2combined.fastq.gz	1682712	1638662	6.214489382999999	6	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_acutirostris	Geospiza_fortis		Genovesa_ground_finch	flighted			Ecuador			insectivore_granivore	omnivore	wild	Geospiza-acutirostris_S_S_Temp_D712-AK1780_filtered_r1r2interleaved
genovesa_ground_finch.2	11166.UM.24976.finch	11166	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2combined.fastq.gz	2673222	564560	5.751710104	6	Chordata	Aves	Thraupidae	Geospiza	Metazoa	Passeriformes	Geospiza_acutirostris	Geospiza_fortis		Genovesa_ground_finch	flighted			Ecuador			insectivore_granivore	omnivore	wild	Geospiza-acutirostris_S_S_Temp_D712-AK1680_filtered_r1r2interleaved
gray_sacwinged_bat.1	11166.vbat.K3.colon.bat	11166	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2combined.fastq.gz	16927274	15913350	7.201761615	7	Chordata	Mammalia	Emballonuridae	Balantiopteryx	Metazoa	Chiroptera	Balantiopteryx_plicata	Desmodus_rotundus	Balantiopteryx_plicata	gray_sacwinged_bat	flighted			Mexico			insectivore	carnivore	wild	Balantiopteryx-plicata_S_S_Temp_D708-AK1545_filtered_r1r2interleaved
greater_rhea.1	11166.FD.0461.rhea	11166	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2combined.fastq.gz	16200112	16199618	7.209504774	7	Chordata	Aves	Rheidae	Rhea	Metazoa	Rheiformes	Rhea_americana	Rhea_americana	Rhea_americana	Greater_rhea	flightless			France			omnivore	omnivore	captive	Rhea-americana_S_S_Temp_D709-AK1545_filtered_r1r2interleaved
harris_hawk.1	11166.ATL.24553.hawk	11166	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2combined.fastq.gz	1911848	987520	5.9945459	6	Chordata	Aves	Accipitridae	Parabuteo	Metazoa	Falconiformes	Parabuteo_unicinctus	Haliaeetus_leucocephalus	Parabuteo_unicinctus	Harris_hawk	flighted			USA			carnivore	carnivore	captive	Parabuteo-unicinctus_S_S_Temp_D711-AK1543_filtered_r1r2interleaved
hooded_vulture.1	11166.ATL.24487.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2combined.fastq.gz	16263176	14928822	7.17402554	7	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes_monachus	Haliaeetus_leucocephalus	Necrosyrtes_monachus	Hooded_vulture	flighted			USA			scavenger	carnivore	captive	Necrosyrtes-monachus_S_S_Temp_D707-AK1682_filtered_r1r2interleaved
hooded_vulture.2	11166.ATL.24524.vulture	11166	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2combined.fastq.gz	53373296	37326654	7.572019061000001	8	Chordata	Aves	Accipitridae	Necrosyrtes	Metazoa	Falconiformes	Necrosyrtes_monachus	Haliaeetus_leucocephalus	Necrosyrtes_monachus	Hooded_vulture	flighted			USA			scavenger	carnivore	captive	Necrosyrtes-monachus_S_S_Temp_D707-AK1780_filtered_r1r2interleaved
